category_slug,subcategory,fee_eur,eur_per_point,max_entries_marginal_rule,optimal_n_net_profit,expected_net_profit_eur_at_optimal_n,implied_breakeven_eur_per_point_first_entry,max_entries_relative_marginal_floor,marginal_relative_floor,structural_ceiling_metal_rows,festival_years_sampled
film,"A15 - Entertainment & Leisure",1545,1,0,0,0,3388.1579,15,0.15,6,3
film,"A16 - Publications & Media",1545,1,0,0,0,5874.5247,8,0.15,3,1
film,"A17 - Banking, Investment & Insurance",1545,1,0,0,0,9478.5276,9,0.15,2,1
film,"A18 - Business Equipment & Services",1545,1,0,0,0,4055.1181,11,0.15,2,1
film,"A19 - Commercial Public Services",1545,1,0,0,0,24523.8095,4,0.15,1,2
film,"A20 - Corporate Image & Communication",1545,1,0,0,0,7725,4,0.15,3,1
film,"A21 - Public Health & Safety",1545,1,0,0,0,12360,10,0.15,2,2
film,"A22 - Public Awareness Messages",1545,1,0,0,0,4843.2602,7,0.15,5,1
film,"A23 - Fundraising, Donations & Appeals",1545,1,0,0,0,6180,20,0.15,3,1
film,"B01 - Fast Moving Consumer Goods",1545,1,0,0,0,6866.6667,8,0.15,4,1
film,"B03 - Other Consumer Products (incl. Durable Goods)",1545,1,0,0,0,5498.2206,17,0.15,4,1
film,"B04 - Travel, Leisure & Retail (incl. e-Commerce & Restaurants)",1545,1,0,0,0,7253.5211,5,0.15,1,1
film,"B05 - Financial Services, Commercial Public Services, Business Products & Services",1545,1,0,0,0,2715.29,11,0.15,7,1
film,"B06 - Publications & Media",1545,1,0,0,0,8535.9116,9,0.15,1,1
film,"B07 - Corporate Image & Communication",1545,1,0,0,0,9142.0118,3,0.15,2,1
film,"B08 - Charities, Fundraising, Appeals, Non-Profit Organisations, Public Health & Safety, Public Awareness Messages",1545,1,0,0,0,4414.2857,20,0.15,6,1
film,"C01 - Viral Film",1545,1,0,0,0,5498.2206,4,0.15,6,10
film,"D01 - Short Non-Fiction Film (under 10 minutes)",1545,1,0,0,0,3388.1579,10,0.15,8,1
film,"D03 - Short Fiction Film (under 10 minutes)",1545,1,0,0,0,3165.9836,20,0.15,3,1
film,"E01 - Public Screens & Events",1545,1,0,0,0,6491.5966,8,0.15,1,1
film,"E02 - Private Screens & Events",1545,1,0,0,0,11195.6522,10,0.15,1,1
film,"E03 - Personal Screens",1545,1,0,0,0,3862.5,9,0.15,1,1
film-craft,"A01 - Direction",1545,1,0,0,0,4186.9919,2,0.15,26,11
film-craft,"A02 - Script",1545,1,0,0,0,4491.2791,10,0.15,19,11
film-craft,"A03 - Casting",1545,1,0,0,0,3252.6316,17,0.15,13,11
film-craft,"A04 - Production Design/Art Direction",1545,1,0,0,0,5150,12,0.15,8,3
film-craft,"A05 - Cinematography",1545,1,0,0,0,4843.2602,13,0.15,14,11
film-craft,"A06 - Editing",1545,1,0,0,0,3090,5,0.15,19,5
film-craft,"A07 - Use of Original Music",1545,1,0,0,0,4414.2857,8,0.15,10,5
film-craft,"A08 - Use of Licensed/Adapted Music",1545,1,0,0,0,3527.3973,9,0.15,8,1
film-craft,"A09 - Sound Design",1545,1,0,0,0,3805.4187,7,0.15,7,5
film-craft,"A10 - Animation",1545,1,0,0,0,2976.8786,9,0.15,9,5
film-craft,"A11 - Visual Effects",1545,1,0,0,0,5618.1818,9,0.15,7,5
film-craft,"A12 - Achievement in Production",1545,1,0,0,0,3584.6868,15,0.15,4,3
glass-the-lion-for-change,"A01 - Glass",1140,1,0,0,0,2280,14,0.15,11,8
health-wellness,"A01 - OTC Oral Medicines",1315,1,0,0,0,3563.6856,6,0.15,6,8
health-wellness,"A02 - OTC Applications",1315,1,0,0,0,1798.9056,2,0.15,7,10
health-wellness,"A03 - OTC Products/Devices",1315,1,0,0,0,3506.6667,3,0.15,8,3
health-wellness,"A05 - Other Products",1315,1,0,0,0,4122.2571,15,0.15,3,2
health-wellness,"B01 - Education & Awareness",1315,1,0,0,0,3389.1753,8,0.15,27,2
health-wellness,"B03 - Insurance",1315,1,0,0,0,3563.6856,7,0.15,2,2
health-wellness,"B04 - Fundraising & Advocacy",1315,1,0,0,0,2365.1079,13,0.15,12,2
health-wellness,"C01 - Animal Health",1315,1,0,0,0,6994.6809,7,0.15,3,2
health-wellness,"D01 - Corporate Image & Communication",1315,1,0,0,0,2883.7719,13,0.15,5,2
innovation,"A01 - Innovative Technology (including Stand-alone, Technological Solutions not in Association with a Brand or Creative Campaign)",1140,1,0,0,0,1085.7143,6,0.15,4,1
innovation,"A02 - Creative Innovation (including Business Solutions in Association with a Brand or Creative Campaign)",1140,1,0,0,0,2171.4286,3,0.15,4,1
media,"A01 - Activation by Location",1315,1,0,0,0,1412.4597,20,0.15,6,8
media,"A01 - Use of Screens",1315,1,0,0,0,6004.5662,15,0.15,3,1
media,"A02 - Activation by Proximity",1315,1,0,0,0,1643.75,10,0.15,1,3
media,"A02 - Use of Audio Platforms",1315,1,0,0,0,4383.3333,7,0.15,1,1
media,"A03 - Augmented Mobile Experience",1315,1,0,0,0,2004.5732,14,0.15,4,3
media,"A03 - use of Print",1315,1,0,0,0,4565.9722,5,0.15,3,1
media,"A04 - Networked Mobile Technology",1315,1,0,0,0,1461.1111,20,0.15,2,1
media,"A04 - Use of Outdoor",1315,1,0,0,0,4781.8182,12,0.15,2,1
media,"A05 - Use of Ambient Media: Small Scale",1315,1,0,0,0,3757.1429,14,0.15,4,1
media,"A05 - Wearable Technology",1315,1,0,0,0,1668.7817,20,0.15,2,1
media,"A06 - Innovative Technology for Mobile",1315,1,0,0,0,831.7521,3,0.15,3,1
media,"A06 - Use of Ambient Media: Large Scale",1315,1,0,0,0,3451.4436,15,0.15,4,1
media,"A07 - Use of Events & Stunts",1315,1,0,0,0,3184.0194,4,0.15,8,1
media,"A08 - Use of Branded Content & Sponsorship",1315,1,0,0,0,3451.4436,19,0.15,6,1
media,"B01 - Use of Social Platforms",1315,1,0,0,0,5260,6,0.15,7,1
media,"B02 - Use of Mobile Devices",1315,1,0,0,0,3337.5635,14,0.15,7,1
media,"B03 - Use of Other Digital Platforms",1315,1,0,0,0,2883.7719,3,0.15,4,1
media,"B04 - Use of Digital Content",1315,1,0,0,0,3138.4248,9,0.15,4,1
media,"C01 - Fast Moving Consumer Goods",1315,1,0,0,0,6004.5662,9,0.15,4,1
media,"C01 - Products",1315,1,0,0,0,4679.7153,16,0.15,3,1
media,"C02 - Cars & Automotive Services",1315,1,0,0,0,7265.1934,16,0.15,1,1
media,"C02 - Services",1315,1,0,0,0,2335.7016,16,0.15,3,1
media,"C03 - Media, Entertainment and Leisure",1315,1,0,0,0,5692.6407,20,0.15,1,1
media,"C03 - Other Consumer Products (including Durable Goods)",1315,1,0,0,0,11637.1681,17,0.15,1,1
media,"C04 - Corporate Image & Communication",1315,1,0,0,0,2213.8047,10,0.15,4,1
media,"C04 - Financial Products & Services",1315,1,0,0,0,3287.5,7,0.15,1,1
media,"C05 - Commercial Public Services incl. Healthcare & Medical",1315,1,0,0,0,876.6667,8,0.15,1,1
media,"C06 - Travel, Entertainment & Leisure",1315,1,0,0,0,5389.3443,8,0.15,2,1
media,"C07 - Retail, E-Commerce & Restaurants",1315,1,0,0,0,5389.3443,6,0.15,2,1
media,"C08 - Publications & Media",1315,1,0,0,0,12405.6604,7,0.15,1,1
media,"C09 - Business Products & Services",1315,1,0,0,0,1523.7543,12,0.15,1,1
media,"C10 - Corporate Image & Communication",1315,1,0,0,0,6004.5662,20,0.15,2,1
media,"C11 - Charities (incl. Fundraising, Donations & Appeals)",1315,1,0,0,0,6383.4951,9,0.15,5,1
media,"C12 - Public Health & Safety & Public Awareness Messages",1315,1,0,0,0,6994.6809,8,0.15,3,1
media,"D01 - Use of Integrated Media",1315,1,0,0,0,3451.4436,3,0.15,3,1
media,"D02 - Services",1315,1,0,0,0,1348.7179,12,0.15,1,1
media,"E02 - Services",1315,1,0,0,0,3622.5895,12,0.15,1,1
media,"E03 - Media, Entertainment and Leisure",1315,1,0,0,0,2145.1876,20,0.15,2,1
media,"G01 - Mobile Messaging",1315,1,0,0,0,2191.6667,20,0.15,2,1
media,"H01 - Integrated Mobile Campaign",1315,1,0,0,0,3389.1753,20,0.15,3,1
media,"I02 - Visual Design/Aesthetic",1315,1,0,0,0,2104,18,0.15,1,1
media,"I03 - User Experience",1315,1,0,0,0,2145.1876,18,0.15,5,1
media,"I04 - Content",1315,1,0,0,0,2883.7719,11,0.15,3,1
media,"I05 - Use of Data/Insight",1315,1,0,0,0,3138.4248,13,0.15,2,1
media,"I06 - Utility",1315,1,0,0,0,2661.9433,7,0.15,4,1
media,"J02 - Response/Real-Time Activity",1315,1,0,0,0,2023.0769,20,0.15,3,1
media,"J03 - Use of Co-Creation & User Generated Content",1315,1,0,0,0,1348.7179,12,0.15,2,1
media,"J04 - Innovative Use of Social for Mobile",1315,1,0,0,0,4383.3333,20,0.15,3,1
outdoor,"A01 - Foods",1140,1,0,0,0,2720.7637,14,0.15,2,1
outdoor,"A02 - Drinks (Alcoholic & Non-Alcoholic)",1140,1,0,0,0,1824,11,0.15,3,1
outdoor,"A03 - Household",1140,1,0,0,0,3372.7811,19,0.15,3,1
outdoor,"A04 - Home Appliances, Furnishings, Electronics & Audio-Visual",1140,1,0,0,0,1494.1022,20,0.15,7,1
outdoor,"A05 - Cosmetics & Beauty, Toiletries & Pharmacy",1140,1,0,0,0,7307.6923,17,0.15,2,1
outdoor,"A06 - Clothing, Footwear & Accessories",1140,1,0,0,0,3140.4959,18,0.15,4,3
outdoor,"A07 - Miscellaneous",1140,1,0,0,0,912,19,0.15,4,1
outdoor,"A08 - Cars & Automotive Services",1140,1,0,0,0,1628.5714,8,0.15,9,1
outdoor,"A09 - Retail Stores, Restaurants & Fast Food Outlets",1140,1,0,0,0,3140.4959,15,0.15,6,1
outdoor,"A10 - Travel, Transport & Tourism",1140,1,0,0,0,1656.9767,20,0.15,9,1
outdoor,"A11 - Entertainment & Leisure",1140,1,0,0,0,2533.3333,13,0.15,5,3
outdoor,"A12 - Publications & Media",1140,1,0,0,0,996.5035,18,0.15,4,1
outdoor,"A13 - Banking, Investment & Insurance",1140,1,0,0,0,2645.0116,20,0.15,2,1
outdoor,"A14 - Business Equipment & Services",1140,1,0,0,0,6063.8298,7,0.15,3,1
outdoor,"A15 - Commercial Public Services",1140,1,0,0,0,2500,8,0.15,4,1
outdoor,"A16 - Corporate Image & Communication",1140,1,0,0,0,2602.7397,8,0.15,1,1
outdoor,"A17 - Fundraising, Donations & Appeals, Charities, Non-Profit Organisations, Public Health & Safety, Public awareness messages",1140,1,0,0,0,1572.4138,9,0.15,15,1
outdoor,"B01 - Foods",1140,1,0,0,0,1962.1343,18,0.15,6,1
outdoor,"B02 - Drinks (Alcoholic & Non-Alcoholic)",1140,1,0,0,0,4237.9182,13,0.15,3,1
outdoor,"B03 - Household",1140,1,0,0,0,4237.9182,20,0.15,8,1
outdoor,"B04 - Home Appliances, Furnishings, Electronics & Audio-Visual",1140,1,0,0,0,5876.2887,7,0.15,6,1
outdoor,"B05 - Cosmetics & Beauty, Toiletries & Pharmacy",1140,1,0,0,0,2533.3333,5,0.15,17,1
outdoor,"B06 - Clothing, Footwear & Accessories",1140,1,0,0,0,2760.2906,15,0.15,3,1
outdoor,"B07 - Miscellaneous",1140,1,0,0,0,2992.126,7,0.15,4,1
outdoor,"B08 - Cars & Automotive Services",1140,1,0,0,0,4334.6008,10,0.15,12,1
outdoor,"B09 - Retail Stores, Restaurants & Fast Food Outlets",1140,1,0,0,0,1544.7154,15,0.15,10,1
outdoor,"B10 - Travel, Transport & Tourism",1140,1,0,0,0,2682.3529,20,0.15,6,1
outdoor,"B11 - Entertainment & Leisure",1140,1,0,0,0,2533.3333,8,0.15,11,3
outdoor,"B12 - Publications & Media",1140,1,0,0,0,1982.6087,8,0.15,12,1
outdoor,"B13 - Banking, Investment & Insurance",1140,1,0,0,0,3372.7811,20,0.15,4,1
outdoor,"B14 - Business Equipment & Services",1140,1,0,0,0,1520,13,0.15,4,1
