year,category_slug,level2,level3,entries,status,url
2025,brand-experience-activation,Excellence in Brand Experience,D01: Live Brand Experience or Activation,2323,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/brand-experience-activation?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Excellence+in+Brand+Experience%40%40D01%3A+Live+Brand+Experience+or+Activation
2025,brand-experience-activation,Excellence in Brand Experience,D02: Guerrilla Marketing & Stunts,2323,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/brand-experience-activation?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Excellence+in+Brand+Experience%40%40D02%3A+Guerrilla+Marketing+%26+Stunts
2025,brand-experience-activation,Excellence in Brand Experience,D03: Brand-Owned Experiences,2323,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/brand-experience-activation?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Excellence+in+Brand+Experience%40%40D03%3A+Brand-Owned+Experiences
2025,brand-experience-activation,Excellence in Brand Experience,D04: Sponsorship & Brand Partnership,2323,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/brand-experience-activation?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Excellence+in+Brand+Experience%40%40D04%3A+Sponsorship+%26+Brand+Partnership
2025,brand-experience-activation,Excellence in Brand Experience,D05: Launch/Relaunch,2323,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/brand-experience-activation?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Excellence+in+Brand+Experience%40%40D05%3A+Launch%2FRelaunch
2025,brand-experience-activation,Excellence in Brand Experience,D06: 360 Integrated Brand Experience,2323,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/brand-experience-activation?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Excellence+in+Brand+Experience%40%40D06%3A+360+Integrated+Brand+Experience
2025,brand-experience-activation,Retail Experience & Activation,C01: Customer Retail/In-store Experience,2323,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/brand-experience-activation?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Retail+Experience+%26+Activation%40%40C01%3A+Customer+Retail%2FIn-store+Experience
2025,brand-experience-activation,Retail Experience & Activation,C02: Retail Promotions & Competitions,2323,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/brand-experience-activation?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Retail+Experience+%26+Activation%40%40C02%3A+Retail+Promotions+%26+Competitions
2025,brand-experience-activation,Retail Experience & Activation,C03: Customer Acquisition & Retention,2323,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/brand-experience-activation?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Retail+Experience+%26+Activation%40%40C03%3A+Customer+Acquisition+%26+Retention
2025,brand-experience-activation,Touchpoints & Technology,B01: Social Engagement & Integration for Live Experience,2323,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/brand-experience-activation?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Touchpoints+%26+Technology%40%40B01%3A+Social+Engagement+%26+Integration+for+Live+Experience
2025,brand-experience-activation,Touchpoints & Technology,B02: Use of Mobile & Devices,2323,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/brand-experience-activation?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Touchpoints+%26+Technology%40%40B02%3A+Use+of+Mobile+%26+Devices
2025,brand-experience-activation,Touchpoints & Technology,B03: Use of Website/Microsites,2323,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/brand-experience-activation?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Touchpoints+%26+Technology%40%40B03%3A+Use+of+Website%2FMicrosites
2025,brand-experience-activation,Touchpoints & Technology,B04: New Realities & Emerging Tech,2323,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/brand-experience-activation?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Touchpoints+%26+Technology%40%40B04%3A+New+Realities+%26+Emerging+Tech
2025,brand-experience-activation,Touchpoints & Technology,B05: Gaming-Led Brand Experience,2323,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/brand-experience-activation?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Touchpoints+%26+Technology%40%40B05%3A+Gaming-Led+Brand+Experience
2025,brand-experience-activation,Touchpoints & Technology,B06: Digital Installations,2323,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/brand-experience-activation?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Touchpoints+%26+Technology%40%40B06%3A+Digital+Installations
2025,brand-experience-activation,Touchpoints & Technology,B07: Tangible & Spatial Technology,2323,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/brand-experience-activation?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Touchpoints+%26+Technology%40%40B07%3A+Tangible+%26+Spatial+Technology
2025,brand-experience-activation,Touchpoints & Technology,B08: Interactive Brand Video,2323,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/brand-experience-activation?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Touchpoints+%26+Technology%40%40B08%3A+Interactive+Brand+Video
2025,brand-experience-activation,Touchpoints & Technology,B09: Tech-Led Brand Experience,2323,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/brand-experience-activation?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Touchpoints+%26+Technology%40%40B09%3A+Tech-Led+Brand+Experience
2025,brand-experience-activation,Touchpoints & Technology,B10: Cross-Platform Digital Experience,2323,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/brand-experience-activation?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Touchpoints+%26+Technology%40%40B10%3A+Cross-Platform+Digital+Experience
2025,creative-b2b,Creative B2B,A01: Cross-Channel Storytelling,415,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/creative-b2b?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Creative+B2B%40%40A01%3A+Cross-Channel+Storytelling
2025,creative-b2b,Creative B2B,A02: Brand Experience,415,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/creative-b2b?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Creative+B2B%40%40A02%3A+Brand+Experience
2025,creative-b2b,Creative B2B,A03: Innovative use of Content,415,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/creative-b2b?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Creative+B2B%40%40A03%3A+Innovative+use+of+Content
2025,creative-b2b,Creative B2B,A04: Targeting & Engagement,415,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/creative-b2b?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Creative+B2B%40%40A04%3A+Targeting+%26+Engagement
2025,creative-b2b,Creative B2B,A05: Effectiveness & Measurement,415,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/creative-b2b?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Creative+B2B%40%40A05%3A+Effectiveness+%26+Measurement
2025,creative-b2b,Creative B2B,A06: Long-Term Brand Building,415,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/creative-b2b?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Creative+B2B%40%40A06%3A+Long-Term+Brand+Building
2025,creative-b2b,Creative B2B,A07: Breakthrough on a Budget,415,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/creative-b2b?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Creative+B2B%40%40A07%3A+Breakthrough+on+a+Budget
2025,creative-b2b,Creative B2B,A08: Challenger Brand,415,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/creative-b2b?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Creative+B2B%40%40A08%3A+Challenger+Brand
2025,creative-b2b,Creative B2B,A09: Corporate Purpose & Social Responsibility,415,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/creative-b2b?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Creative+B2B%40%40A09%3A+Corporate+Purpose+%26+Social+Responsibility
2025,creative-b2b,Creative B2B,A10: Market Disruption,415,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/creative-b2b?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Creative+B2B%40%40A10%3A+Market+Disruption
2025,creative-b2b,Creative B2B,A11: Craft in B2B,415,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/creative-b2b?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Creative+B2B%40%40A11%3A+Craft+in+B2B
2025,creative-b2b,Creative B2B,A12: Integrated Campaigns,415,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/creative-b2b?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Creative+B2B%40%40A12%3A+Integrated+Campaigns
2025,creative-b2b,Creative B2B,A13: B2B Influencer Marketing,415,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/creative-b2b?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Creative+B2B%40%40A13%3A+B2B+Influencer+Marketing
2025,creative-business-transformation,Business Operations and Technology,C01: Operational Transformation,261,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/creative-business-transformation?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Business+Operations+and+Technology%40%40C01%3A+Operational+Transformation
2025,creative-business-transformation,Business Operations and Technology,C02: New Relationship Models,261,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/creative-business-transformation?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Business+Operations+and+Technology%40%40C02%3A+New+Relationship+Models
2025,creative-business-transformation,Business Operations and Technology,C03: Marketing Technology for Growth,261,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/creative-business-transformation?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Business+Operations+and+Technology%40%40C03%3A+Marketing+Technology+for+Growth
2025,creative-business-transformation,Business Operations and Technology,C04: Creative Application of Emerging Technology,261,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/creative-business-transformation?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Business+Operations+and+Technology%40%40C04%3A+Creative+Application+of+Emerging+Technology
2025,creative-business-transformation,Business Operations and Technology,C05: Venture Models & Corporate Innovation,261,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/creative-business-transformation?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Business+Operations+and+Technology%40%40C05%3A+Venture+Models+%26+Corporate+Innovation
2025,creative-business-transformation,Business Operations and Technology,C06: Experience Transformation,261,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/creative-business-transformation?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Business+Operations+and+Technology%40%40C06%3A+Experience+Transformation
2025,creative-business-transformation,Business Operations and Technology,E01: End-to-End Transformation,261,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/creative-business-transformation?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Business+Operations+and+Technology%40%40E01%3A+End-to-End+Transformation
2025,creative-business-transformation,Customer Experience Design,B01: Customer Experience Design,261,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/creative-business-transformation?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Customer+Experience+Design%40%40B01%3A+Customer+Experience+Design
2025,creative-business-transformation,Customer Experience Design,B02: Product,261,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/creative-business-transformation?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Customer+Experience+Design%40%40B02%3A+Product
